user_id,user_category,Message_Content,Is_Spam,Suggested_Action,User_Tag
1,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
2,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
3,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
4,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
5,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
6,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
7,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
8,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
9,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
10,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
11,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
12,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
13,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
14,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
15,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
16,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
17,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
18,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
19,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
20,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
21,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
22,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
23,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
24,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
25,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
26,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
27,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
28,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
29,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
30,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
31,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
